Metric,Value
timing__setup_r2r__ws__corner:max_ff_n40C_5v50,26.629271
timing__setup_r2r_vio__count__corner:max_ff_n40C_5v50,0
timing__unannotated_net__count__corner:max_ff_n40C_5v50,94
timing__unannotated_net_filtered__count__corner:max_ff_n40C_5v50,0
timing__unannotated_net__count,94
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VDD__corner:max_ss_125C_4v50,4.49923
design_powergrid__drop__average__net:VDD__corner:max_ss_125C_4v50,4.49992
design_powergrid__drop__worst__net:VDD__corner:max_ss_125C_4v50,0.000773294
design_powergrid__voltage__worst__net:VSS__corner:max_ss_125C_4v50,0.000715988
design_powergrid__drop__average__net:VSS__corner:max_ss_125C_4v50,0.0000809956
design_powergrid__drop__worst__net:VSS__corner:max_ss_125C_4v50,0.000715988
design_powergrid__voltage__worst,0.000715988
design_powergrid__voltage__worst__net:VDD,4.49923
design_powergrid__drop__worst,0.000773294
design_powergrid__drop__worst__net:VDD,0.000773294
design_powergrid__voltage__worst__net:VSS,0.000715988
design_powergrid__drop__worst__net:VSS,0.000715988
ir__voltage__worst,4.5
ir__drop__avg,0.000082000000000000000948026379621325077096116729080677032470703125
ir__drop__worst,0.00077300000000000003257116798494053000467829406261444091796875
design__xor_difference__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
